Code Domaine,Domaine,Code zone (FAO),Zone,Code ?l?ment,?l?ment,Code Mois,Mois,Code ann?e,Ann?e,Unit?,Valeur,Symbole,Description du Symbole
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2010","2010","?C","1.31","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2011","2011","?C","1.123","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2012","2012","?C","1.531","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2013","2013","?C","0.141","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2014","2014","?C","2.077","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2015","2015","?C","2.418","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2016","2016","?C","1.258","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2017","2017","?C","3.717","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2018","2018","?C","2.594","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2019","2019","?C","2.841","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2020","2020","?C","1.23","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7006","Juin","2021","2021","?C","2.795","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2010","2010","?C","2.569","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2011","2011","?C","-0.549","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2012","2012","?C","0.456","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2013","2013","?C","2.991","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2014","2014","?C","1.013","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2015","2015","?C","3.229","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2016","2016","?C","1.738","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2017","2017","?C","2.066","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2018","2018","?C","3.455","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2019","2019","?C","3.225","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2020","2020","?C","2.037","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7007","Juillet","2021","2021","?C","1.165","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2010","2010","?C","0.701","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2011","2011","?C","1.483","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2012","2012","?C","2.632","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2013","2013","?C","1.613","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2014","2014","?C","-0.076","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2015","2015","?C","2.215","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2016","2016","?C","2.293","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2017","2017","?C","2.17","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2018","2018","?C","2.953","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2019","2019","?C","2.617","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2020","2020","?C","3.208","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7008","Ao?t","2021","2021","?C","0.909","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2010","2010","?C","-0.194","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2011","2011","?C","2.263","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2012","2012","?C","0.421","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2013","2013","?C","0.981","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2014","2014","?C","1.931","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2015","2015","?C","-0.438","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2016","2016","?C","2.829","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2017","2017","?C","-0.476","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2018","2018","?C","2.208","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2019","2019","?C","1.596","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2020","2020","?C","2.044","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7009","Septembre","2021","2021","?C","2.374","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2010","2010","?C","-0.047","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2011","2011","?C","1.627","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2012","2012","?C","1.116","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2013","2013","?C","2.505","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2014","2014","?C","3.085","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2015","2015","?C","0.202","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2016","2016","?C","0.231","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2017","2017","?C","2.31","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2018","2018","?C","1.797","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2019","2019","?C","2.32","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2020","2020","?C","0.265","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7010","Octobre","2021","2021","?C","0.923","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2010","2010","?C","0.305","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2011","2011","?C","3.017","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2012","2012","?C","1.332","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2013","2013","?C","0.279","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2014","2014","?C","3.286","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2015","2015","?C","3.363","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2016","2016","?C","1.103","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2017","2017","?C","0.599","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2018","2018","?C","1.754","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2019","2019","?C","0.876","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2020","2020","?C","2.834","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7011","Novembre","2021","2021","?C","0.235","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2010","2010","?C","-2.311","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2011","2011","?C","2.434","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2012","2012","?C","1.384","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2013","2013","?C","1.405","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2014","2014","?C","1.174","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2015","2015","?C","4.363","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2016","2016","?C","1.094","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2017","2017","?C","0.554","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2018","2018","?C","2.493","Fc","Donn?e calcul?e"
"ET","Variation de temp?rature","68","France","7271","Variation de temp?rature","7012","D?cembre","2019","2019","?C","2.763","Fc","Donn?e calcul?e"
